obsid next_obsid time timestop date datestop gui_ms manvr_angle manvr_slew_err one_shot roll_err pitch_err yaw_err
51449 51448 565700885.047 565701866.997 2015:339:11:06:56.863 2015:339:11:23:18.813 ENAB 74.87 55.0 35.07463836669922 2.4824235368455567 0.6511732266971568 0.3285399114399819
51448 51447 565703648.447 565706074.623 2015:339:11:53:00.263 2015:339:12:33:26.439 ENAB 87.14 52.5 26.48822784423828 1.8608416711705535 0.44537689226096216 0.2847418486581709
51447 51446 565708019.048 565711166.8230001 2015:339:13:05:50.864 2015:339:13:58:18.639 ENAB 145.91 49.2 10.667407989501953 0.9467006127329654 0.588035139769964 0.2657855724214061
51446 51445 565713853.348 565726082.624 2015:339:14:43:05.164 2015:339:18:06:54.440 ENAB 94.12 41.4 16.020587921142578 1.071033453110545 0.3987524968670942 0.30133504369348624
51445 51444 565728096.7490001 565731307.049 2015:339:18:40:28.565 2015:339:19:33:58.865 ENAB 110.47 46.1 4.95287561416626 1.7425569312031288 0.5966492072650135 0.38305605180869046
51444 51443 565733521.049 565736744.674 2015:339:20:10:52.865 2015:339:21:04:36.490 ENAB 137.48 50.0 30.242517471313477 1.3659562711051434 0.3813232581626633 0.335498118715541
51443 51441 565739363.5500001 565742496.975 2015:339:21:48:15.366 2015:339:22:40:28.791 ENAB 87.91 56.0 29.256071090698242 1.065943934565586 0.4712395052723411 0.31921822900980185
51441 51440 565744451.65 565748598.8 2015:339:23:13:03.466 2015:340:00:22:10.616 ENAB 74.27 49.2 26.329349517822266 1.268087610232178 0.3407388777590958 0.31435181927776684
51440 18718 565750367.9499999 565751478.025 2015:340:00:51:39.766 2015:340:01:10:09.841 ENAB 19.75 22.0 7.411962509155273 3.715927048673147 0.44261884486533903 0.3027163185522791
18718 51439 565752413.85 565812681.804 2015:340:01:25:45.666 2015:340:18:10:13.620 DISA 19.86 21.9 3.241629123687744 2.244157394398437 0.3486499076796769 0.40054592178221843
51439 17074 565813626.854 565814711.304 2015:340:18:25:58.670 2015:340:18:44:03.120 ENAB 154.21 60.3 13.855990409851074 2.40549033542479 0.5938079513316183 0.28564825986762743
17074 18423 565817509.554 565827697.03 2015:340:19:30:41.370 2015:340:22:20:28.846 ENAB 57.7 49.6 10.598472595214844 0.9394571270820479 0.277430828177813 0.2442003903906473
18423 17724 565829210.955 565839396.38 2015:340:22:45:42.771 2015:341:01:35:28.196 ENAB 99.26 67.6 39.015350341796875 2.5241465169541297 0.36640365123956603 0.3251186720192598
17724 18292 565841510.955 565856650.206 2015:341:02:10:42.771 2015:341:06:23:02.022 ENAB 17.78 27.5 6.474465370178223 1.320467398829607 0.32844371182737986 0.2394333318965883
18292 17265 565857554.256 565868167.107 2015:341:06:38:06.072 2015:341:09:34:58.923 ENAB 147.87 52.2 45.14336395263672 1.0798824104943217 0.36969252239458605 0.32883228097243206
